epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,284.142,1.19064,1.28016,1.1354,0.49579,0.5739,0.51341,0.34228,1.25852,1.45653,1.12669,0.0008581,0.0008581,0.0008581
59,347.714,1.10637,1.1118,1.08138,0.57067,0.50735,0.50358,0.36182,1.07124,1.4654,1.05314,0.0008086,0.0008086,0.0008086
45,290.736,1.17955,1.25403,1.14096,0.68463,0.55541,0.53463,0.37541,1.06939,1.36452,1.05684,0.0008548,0.0008548,0.0008548
60,353.842,1.12965,1.15544,1.12915,0.55982,0.5476,0.52129,0.36799,1.16423,1.37238,1.10083,0.0008053,0.0008053,0.0008053
46,297.062,1.15789,1.25111,1.1123,0.66132,0.59653,0.53509,0.38104,1.13751,1.38964,1.08219,0.0008515,0.0008515,0.0008515
61,359.952,1.11028,1.14537,1.10588,0.72987,0.53589,0.51224,0.35459,1.12586,1.46351,1.07433,0.000802,0.000802,0.000802
47,303.441,1.15798,1.22522,1.12968,0.51456,0.56653,0.50278,0.3626,1.05372,1.46085,1.05321,0.0008482,0.0008482,0.0008482
62,366.365,1.10045,1.15635,1.07836,0.67612,0.52792,0.49822,0.37049,1.07105,1.41358,1.06507,0.0007987,0.0007987,0.0007987
48,309.371,1.2252,1.24631,1.16599,0.59012,0.52141,0.46812,0.32976,1.06668,1.48597,1.07154,0.0008449,0.0008449,0.0008449
63,373.012,1.08038,1.07806,1.09519,0.75147,0.51587,0.51215,0.3608,1.10542,1.44308,1.0549,0.0007954,0.0007954,0.0007954
49,315.975,1.146,1.17314,1.11259,0.67637,0.52654,0.50736,0.34751,1.08383,1.30403,1.05166,0.0008416,0.0008416,0.0008416
64,379.418,1.11882,1.1242,1.10122,0.49764,0.5495,0.50269,0.35645,1.12039,1.40883,1.06712,0.0007921,0.0007921,0.0007921
50,321.951,1.16099,1.19583,1.11664,0.68061,0.51402,0.50461,0.34906,1.14623,1.37056,1.07327,0.0008383,0.0008383,0.0008383
65,385.602,1.07676,1.0461,1.07904,0.50257,0.55308,0.49114,0.36068,1.04032,1.39191,1.03576,0.0007888,0.0007888,0.0007888
51,327.999,1.14381,1.17196,1.12462,0.57693,0.51031,0.52242,0.36253,1.10144,1.34996,1.07128,0.000835,0.000835,0.000835
66,391.947,1.08676,1.08333,1.0859,0.53194,0.54192,0.49697,0.34789,1.06711,1.42835,1.03232,0.0007855,0.0007855,0.0007855
52,334.203,1.11324,1.15667,1.09464,0.6677,0.55344,0.51912,0.34157,1.14367,1.29043,1.07221,0.0008317,0.0008317,0.0008317
